Sheet Name,Variable Name,Data Type,Non-Null Count,Unique Values
Family History,Subject,int64,5050,758
Family History,Submitted,object,5050,758
Family History,Relation,object,5050,10
Family History,Is this person still living?,object,5049,2
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Allergies,object,339,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - ALS or other neuromuscular disease,object,113,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Alzheimer's disease or other dementia,object,280,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Asthma,object,170,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Behcet's disease,object,1,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Blood cancer,object,41,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Chronic fatigue syndrome,object,8,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Crohn's disease,object,17,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Cushing's disease,object,2,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Fibromyalgia,object,41,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Guillain Barre syndrome,object,3,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Idiopathic thrombocytopenic purpura,object,2,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Multiple sclerosis,object,15,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Muscle dystrophy,object,10,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Neuromyelitis optica,object,1,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Peripheral neuropathy,object,43,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Psoriasis,object,54,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Rheumatoid arthritis,object,141,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Systemic lupus erythematosus,object,11,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Thyroid disease,object,195,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Transient ischemic attack,object,62,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Ulcerative colitis,object,30,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Other - Write In,object,870,564
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - None of these,object,2539,1
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Don't know,object,540,1
General Information 1,Subject,int64,766,766
General Information 1,Submitted,object,766,766
General Information 1,Current Marital Status,object,759,5
General Information 1,Highest Level of Education,object,766,12
General Information 1,Current Height (Feet),int64,766,5
General Information 1,Current Height (Inches),int64,766,13
General Information 1,Current Weight,int64,766,168
General Information 1,Height @ 40 (Feet),float64,691,5
General Information 1,Height @ 40 (Inches),float64,658,12
General Information 1,Weight @ 40,float64,687,120
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - Asian",object,20,1
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - Native Hawaiian or Other Pacific Islander",object,2,1
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - Black/African-American",object,15,1
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - White",object,695,1
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - Hispanic/Latino",object,32,1
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - American Indian/Alaska Native",object,6,1
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - Prefer not to answer",object,1,1
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - Other - Write In",object,23,20
General Information 2,Subject,int64,692,692
General Information 2,Submitted,object,692,692
General Information 2,"Prior to onset of any ALS symptoms, which hand did you typically use to write?",object,692,3
General Information 2,"Prior to onset of any ALS symptoms, with which foot would you have typically kicked a ball?",object,692,4
General Information 2,Which of your two hands do you think you use more frequently now?,object,691,3
General Information 2,Which of your legs do you consider to be stronger now?,object,691,3
Lifestyle 1,Subject,int64,4388,762
Lifestyle 1,Submitted,object,4388,762
Lifestyle 1,Have you ever smoked one or more cigarettes per day for six months or longer?,object,762,3
Lifestyle 1,How old were you when you first started smoking one or more cigarettes per day?,float64,255,22
Lifestyle 1,"During periods when you smoked, for how many years in total did you smoke cigarettes?",float64,255,42
Lifestyle 1,"During period when you smoked, how many cigarettes did you usually smoke per day? (One pack usually contains 20 cigarettes)",float64,255,19
Lifestyle 1,Have you ever engaged in a routine that includes vigorous leisure time physical activity for at least 10 minutes a day that caused heavy sweating or large increases in breathing or heart rate?,object,762,3
Lifestyle 1,For each of the following age ranges please specify the estimated number of times of activity per (week/month/year)? - Age Range,object,3619,6
Lifestyle 1,For each of the following age ranges please specify the estimated number of times of activity per (week/month/year)? - Activity?,object,2772,2
Lifestyle 1,For each of the following age ranges please specify the estimated number of times of activity per (week/month/year)? - Estimated number of times,object,2430,78
Lifestyle 1,For each of the following age ranges please specify the estimated number of times of activity per (week/month/year)? - Per (week/month/year),object,2396,3
Lifestyle 2,Subject,int64,845,679
Lifestyle 2,Submitted,object,845,679
Lifestyle 2,Are you currently smoking one ore more cigarettes per day?,object,679,3
Lifestyle 2,How old were you when you first started smoking one or more cigarettes per day?,float64,22,11
Lifestyle 2,"During period when you smoked, how many cigarettes did you usually smoke per day? (One pack usually contains 20 cigarettes)",float64,22,7
Lifestyle 2,"In the last 3 months, have you engaged in a routine that includes vigorous leisure time physical activity for at least 10 minutes a day that caused heavy sweating or large increases in breathing or heart rate?",object,679,3
Lifestyle 2,"In the last 3 months, please specify the estimated number of times per (week/month/year) you are active? - Range",object,166,1
Lifestyle 2,"In the last 3 months, please specify the estimated number of times per (week/month/year) you are active? - Activity?",object,166,2
Lifestyle 2,"In the last 3 months, please specify the estimated number of times per (week/month/year) you are active? - Estimated number of times",object,164,24
Lifestyle 2,"In the last 3 months, please specify the estimated number of times per (week/month/year) you are active? - Per (week/month/year)",object,163,3
