Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct
What is the main goal of checking feasibility before a study?,To prove the hypothesis is true,To move 'the data can't answer this' from month 6 to minute 5,To replace the need for IRB review,To generate the final study results,30,2
A concept exists in the vocabulary but has zero records in your instance. That is a problem of:,Existence,Presence,Standardization,Governance,20,2
Why can't the public ATLAS demo answer the pregnancy + diabetes question?,The concepts are missing from the vocabulary,ATLAS cannot build cohorts,"SynPUF is synthetic Medicare data (mostly 65+), so pregnancies are absent",The demo has no diabetes records,30,3
An ATLAS cohort returns empty although every concept exists. Your first question is:,Is it a concept problem or a population problem?,Should I rewrite the SQL?,Is ATLAS broken?,Do I need a bigger server?,25,1
Which OMOP CDM table holds metformin and insulin records?,CONDITION_OCCURRENCE,MEASUREMENT,DRUG_EXPOSURE,OBSERVATION,20,3
"When you build a cohort in ATLAS, you build it from:",ICD-10 source codes,NDC codes,"Standard concepts (SNOMED, RxNorm, LOINC)",Free-text diagnosis names,20,3
"For a network study, which platform do you want at your institution?",The OMOP CDM instance and ATLAS,TriNetX,Epic Cosmos,The billing system,20,1
Identifying and dating a pregnancy in OMOP data usually requires:,A single obstetric code,A pregnancy episode algorithm,The PERSON table alone,Nothing; it is automatic,25,2
"In an OHDSI network study, what leaves each participating site?",Full person-level records,Only aggregate results,The raw EHR database,Patient identifiers,20,2
Your instance has the right population but far too few people. The question is:,Not feasible anywhere,Feasible only across the network,A mapping problem,Ready to run locally as-is,25,2
