Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct
An OHDSI cohort is best described as:,A list of patients with a specific diagnosis code,A SQL query that pulls patients from the CDM,"A set of persons satisfying criteria for a duration of time, with entry and exit logic",An export of all patients in the CDM with a given condition,25,3
"In ATLAS, how do you write an EXCLUSION criterion?",Add it to the Exclusion Criteria section,Write it as an inclusion rule where the count of the excluded event = 0,Use the 'NOT' toggle on the inclusion criterion,Exclusion criteria are not supported in ATLAS,25,2
"In the metformin new-user cohort, '365 days of continuous prior observation' means:",The patient has been in the database for 365 total days,The patient must have a continuous observation period starting at least 365 days before their metformin entry event,The patient took metformin for 365 days,The patient was enrolled in a study for 365 days,25,2
What does the attrition report show?,Which concept sets are included in the cohort,The SQL behind the cohort definition,The count of patients remaining after each inclusion criterion is applied,The characterization of the final cohort,20,3
A cohort inclusion rule removes almost everyone from the cohort. This most likely means:,The CDM has very few patients,The concept set is correct,The rule may be too strict — check the temporal window,The cohort exit strategy is wrong,25,3
What is cohort characterization used for?,To generate the cohort SQL from Atlas,"To summarize demographics, conditions, and drugs in the cohort — a face validity check",To run DQD on the cohort,To export the cohort to a spreadsheet,20,2
The cohort entry event defines:,When the person leaves the cohort,The concept sets used for analysis,"The qualifying event that brings a person in, and the index date for all subsequent logic",The DQD threshold for the cohort,20,3
Which is the PRIMARY tool for building cohorts in the OHDSI ecosystem?,HADES,Athena,Achilles,ATLAS,15,4
"After building a cohort in ATLAS, what should you always do to validate it?",Run DQD,"Export and rerun the SQL in your own SQL client, comparing the count",Submit it to the OHDSI forum for review,Run characterization only,20,2
"In ATLAS, the cohort exit strategy 'End of continuous drug exposure + 30-day gap' means:",The patient exits 30 days after entry,The patient exits when there is a 30-day or longer gap in their drug supply,The patient exits after 30 events,The patient exits at the end of their observation period,25,2
