Scale,State,Tool,Organization,Indicators,Geographic Unit,Last Updated,Status,URL,Notes
National,,Environmental Justice Index (EJI) Explorer,CDC and Agency for Toxic Substances and Disease Registry,36,Census tract,2023,Live,https://www.atsdr.cdc.gov/place-health/php/eji/eji-explorer.html,"Excludes Alaska, Hawaii, and the territories. Last published February 2025."
National,,U.S. Climate Vulnerability Index (CVI),Environmental Defense Fund and Texas A&M University,184,County and census tract,2023,Live,https://climatevulnerabilityindex.org/,"Excludes territories."
State,California,CalEnviroScreen,CA Office of Environmental Health Hazard Assessment,21,Census tract,2021,Live,https://oehha.ca.gov/calenviroscreen,"Now at version 5.0."
State,Colorado,Colorado EnviroScreen,CO Dept. of Public Health and Environment,35,County / tract / block,2023,Live,https://cdphe.colorado.gov/enviroscreen,"EnviroScreen 2.0 launched January 2025; version 3.0 expected 2027."
State,Connecticut,Connecticut Environmental Justice Screening Tool,University of Connecticut,48,Census tract,2023,Live,https://connecticut-environmental-justice.circa.uconn.edu/,"Hosted by UConn CIRCA in partnership with CT DEEP."
State,Delaware,DE EJ Area Viewer Map,DE Dept. of Natural Resources and Environmental Control,17,Tract and block,2023,Live,https://experience.arcgis.com/experience/dbb99894d4ca4b1c81e675be184cca79,"Linked from the DNREC environmental justice data page."
State,Illinois,EJ Start,Illinois EPA,2,Census block,2023,Live,https://epa.illinois.gov/topics/environmental-justice/ej-mapping-use-google-chrome-for-best-results.html,"State page redirects to the ArcGIS Experience app."
State,Maryland,MDEnviroScreen,MD Dept. of the Environment,24,Census tract,2022,Live,https://mde.maryland.gov/Environmental_Justice/Pages/MDEnviroScreen.aspx,"Formerly the Maryland EJ Screening Tool; now version 3."
State,Massachusetts,2020 Environmental Justice Populations,MA Executive Office of Energy and Environmental Affairs,4,Census block,2022,Live,https://www.mass.gov/info-details/massgis-data-2020-environmental-justice-populations,"MassGIS landing page links to the EJ Viewer."
State,Michigan,MiEJScreen,MI Dept. of Environment Great Lakes and Energy,26,Census tract,2023,Live,https://www.michigan.gov/egle/maps-data/miejscreen,"Version 1.5 launched March 2026."
State,Minnesota,Understanding Environmental Justice in Minnesota,MN Pollution Control Agency,4,Tract and block,Not reported,Live,https://www.pca.state.mn.us/environmental-justice-map,""
State,New Jersey,"Environmental Justice Mapping, Assessment and Protection Tool (EJMAP)",NJ Dept. of Environmental Protection,3,Census block,2023,Live,https://experience.arcgis.com/experience/548632a2351b41b8a0443cfc3a9f4ef6,"Documentation at dep.nj.gov/ej."
State,New Mexico,Open EnviroMap,NM Environment Department,37,Statewide,2023,Live,https://gis.web.env.nm.gov/oem/,""
State,New York,Potential Environmental Justice Areas,NY Dept. of Environmental Conservation,3,Census block,2022,Live,https://dec.ny.gov/get-involved/environmental-justice/gis-tools,""
State,North Carolina,Community Mapping System,NC Dept. of Environmental Quality,2,Census block,2023,Live,https://www.deq.nc.gov/outreach-education/community-engagement/deq-north-carolina-community-mapping-system,""
State,Pennsylvania,PennEnviroScreen,PA Dept. of Environmental Protection,2,Census tract,2023,Live,https://www.pa.gov/agencies/dep/public-participation/office-of-environmental-justice/pennenviroscreen,"Tool itself at gis.dep.pa.gov/PennEnviroScreen."
State,Rhode Island,Environmental Justice Resource Map,RI Dept. of Environmental Management,4,Census tract,2020,Live,https://dem.ri.gov/environmental-protection-bureau/initiatives/environmental-justice,"Map is embedded on the DEM initiatives page."
State,Utah,Utah Healthy Places Index,UT Dept. of Health and Human Services,20,County / tract / other,2023,Live,https://dhhs.utah.gov/utahhpi/,"Interactive map at map.utah.healthyplacesindex.org."
State,Vermont,Vermont Environmental Disparity Index,"Rubenstein School, University of Vermont",31,Census tract,2023,Live,https://www.arcgis.com/apps/webappviewer/index.html?id=68a9290bde0c42529460e1b8deee8368,"Legacy ArcGIS Web AppBuilder app; no dedicated UVM landing page."
State,Virginia,Virginia Environmental Justice Collaborative Map,Mapping for Environmental Justice (MEJ),19,Census tract,2021,Live,https://mappingforej.studentorg.berkeley.edu/virginia/,""
State,Washington,Washington Environmental Health Disparities Map,University of Washington and WA State Dept. of Health,19,Census tract,2022,Live,https://doh.wa.gov/data-and-statistical-reports/washington-tracking-network-wtn/washington-environmental-health-disparities-map,""
